사례,,변수,고객값,SHAP(log-odds)
1,0,연체이력강도,4.0,5.221341674836582
1,1,3금융권잔액비중,0.9490740740738542,1.6412971563283205
1,2,비1금융권잔액비중,0.9999999999997684,1.4437968737112559
1,3,신용카드개설기관수,2.0,0.9256739616910352
1,4,신용성대출비중,0.9999999999954546,0.6936031472360142
2,0,신용카드사용비중,0.9999999999990533,-3.9039093585495586
2,1,신용카드개설기관수,3.0,-2.3966600985675224
2,2,보험료합계,12.0,-1.472559859927609
2,3,월평균신용카드사용액,1056.26666666667,-1.337492458133464
2,4,연금보험료,4.0,-1.1458835067634139
3,0,최고금리,22900.0,5.595907988133955
3,1,잔액가중평균금리,19190.83665338263,2.1427571277703534
3,2,단기카드대출금리,22900.0,-1.3709726921812104
3,3,월평균신용카드사용액,436.0,-1.1720175602686749
3,4,카드사용액합계,626.0,-1.0307997429304545
